imdb_id,youtube_id,genres,title,duration
tt0006864,f0yEkRCpCmw,"['Drama', 'History']",Intolerance: Love's Struggle Throughout the Ages (1916),126.1
tt0015724,RXzS9B259So,"['Drama', 'Mystery', 'Romance', 'Thriller']",Dama de noche (1993),117.7
tt0016039,q3fdenwZ0Ys,"['Adventure', 'Fantasy', 'Sci-Fi']",The Lost World (1925),193.8
tt0018192,6504eRh5h6M,"['Biography', 'Drama', 'History', 'War']",Napoleon (1927),90.0
tt0018578,08NbkvJQq-s,"['Drama', 'Romance', 'War', 'Action']",Wings (1927),52.3
tt0020697,3MRh6NdQTi0,"['Drama', 'Music']",The Blue Angel (1930),166.9
tt0023427,XRmWftEjit0,"['Action', 'Crime', '-1ru6xV7SOMDrama', 'Thriller']",Scarface (1932),158.3
tt0024368,hdl-ycmgyRY,"['Horror', 'Mystery', 'Thriller']",Mystery of the Wax Museum (1933),63.4
tt0029583,h1faovQFykQ,"['Animation', 'Family', 'Fantasy', 'Musical', 'Romance']",Snow White and the Seven Dwarfs (1937),83.3
tt0031381,0dTsfsr6-X8,"['Drama', 'History', 'Romance', 'War']",Gone with the Wind (1939),160.7
tt0031580,-pao-iEtwnY,"['Comedy', 'Drama', 'Family', 'Musical']",The Little Princess (1939),83.1
tt0032138,aVG8F9D7suw,"['Adventure', 'Family', 'Fantasy', 'Musical']",The Wizard of Oz (1939),130.8
tt0032910,WOjibXs2opw,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Pinocchio (1940),82.2
tt0033405,XbUV9gp5d2s,"['Drama', 'Sport']",Blood and Sand (1941),182.6
tt0034492,wlnfh2DEIgY,"['Animation', 'Drama', 'Family']",Bambi (1942),69.1
tt0034522,tEfjutlf-So,"['Action', 'Adventure', 'Drama', 'Family', 'History', 'Romance']",The Black Swan (1942),132.5
tt0035896,uxFEGZwzElc,"['Adventure', 'Drama', 'History', 'Romance', 'War']",For Whom the Bell Tolls (1943),133.6
tt0037120,i7j_z3cWv9I,"['Drama', 'Family', 'Sport']",National Velvet (1944),102.7
tt0038499,9nBOj5IzoKU,"['Drama', 'Romance', 'Western']",Duel in the Sun (1946),136.0
tt0038718,ElnqVbngjy0,"['Animation', 'Family', 'Music']",Make Mine Music (1946),60.1
tt0038776,yrGoMtorvl0,"['Biography', 'Drama', 'Musical']",Night and Day (1946),138.2
tt0038969,IjP0DhXhv74,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']",Song of the South (1946),68.8
tt0039111,_V67fqgvyXQ,"['Drama', 'Family', 'Western']",The Yearling (1946),54.1
tt0039192,CZRzcLK1Ar0,['Drama'],Black Narcissus (1947),153.7
tt0040308,KKr9S2UNFAU,"['Musical', 'Romance']",Easter Parade (1948),116.2
tt0040497,HV5mBY2Oaow,['Comedy'],Jour de Fête (1949),30.8
tt0040725,WFcOqyWBKYg,"['Drama', 'Music', 'Romance']",The Red Shoes (1948),141.7
tt0040746,ADoJWPAvHuM,"['Crime', 'Drama', 'Mystery', 'Thriller']",Rope (1948),145.6
tt0040876,9S-GyXIiUj8,"['Action', 'Adventure', 'Drama', 'Romance']",The Three Musketeers (1948),109.0
tt0041094,S5ZcWJgoapg,"['Animation', 'Comedy', 'Family', 'Fantasy', 'Horror']",The Adventures of Ichabod and Mr. Toad (1949),31.2
tt0041594,SZFVCL-YWa4,"['Drama', 'Family', 'Romance']",Little Women (1949),185.0
tt0041716,x7CIgWZTdgw,"['Comedy', 'Musical', 'Romance']",On the Town (1949),186.5
tt0041866,2DHraWHABKg,['Western'],She Wore a Yellow Ribbon (1949),109.2
